blockindex	stim	cresp	acc	rt	resp	category	width	angle	ignore	gl	ignore2	stimindex	sub	resp1	resp6	cresp6	cresp1
116	tree22.jpg	6	0	0.445408	1	1	58.0366	83.18	-1	-1	0	14	101	1	0	1	0
117	tree19.jpg	6	1	1.148239	6	2	62.6809	48.43	-1	1	0	15	101	0	1	1	0
119	tree39.jpg	6	0	0	5	0	0	0	0	0	0	13	101	0	0	1	0
123	tree11.jpg	1	1	0.772461	1	2	67.4366	55.45	-1	1	0	16	101	1	0	0	1
124	tree11.jpg	1	1	0.874107	1	2	76.9295	68.19	-1	1	0	17	101	1	0	0	1
127	tree19.jpg	6	1	1.154403	6	2	76.627	67.76	-1	1	0	16	101	0	1	1	0
128	tree39.jpg	6	1	1.601893	6	2	68.0566	57.83	-1	1	0	14	101	0	1	1	0
129	tree10.jpg	1	1	0.99115	1	2	81.5384	67.84	-1	1	0	15	101	1	0	0	1
130	tree10.jpg	1	1	0.821145	1	2	61.4908	51.69	-1	1	0	16	101	1	0	0	1
131	tree19.jpg	6	1	1.032963	6	2	69.0061	61.64	-1	1	0	17	101	0	1	1	0
132	tree11.jpg	1	0	1.648668	6	1	31.4422	62.06	-1	-1	0	18	101	0	1	0	1
133	tree11.jpg	1	1	0.39241	1	2	57.7656	43.76	-1	1	0	19	101	1	0	0	1
134	tree39.jpg	6	0	0.833772	1	1	46.0243	76.76	-1	-1	0	15	101	1	0	1	0
135	tree39.jpg	6	1	0.426439	6	2	70.1167	56.13	-1	1	0	16	101	0	1	1	0
1	tree39.jpg	6	0	0.996754	1	1	32.329	56.69	-1	-1	0	17	101	1	0	1	0
2	tree18.jpg	1	1	1.217257	1	2	66.1223	57.95	-1	1	0	16	101	1	0	0	1
3	tree11.jpg	1	0	1.146675	6	1	17.9343	44.21	-1	-1	0	20	101	0	1	0	1
5	tree10.jpg	1	1	0.964002	1	2	51.53	49.16	-1	1	0	17	101	1	0	0	1
7	tree22.jpg	6	1	1.364756	6	2	82.3695	74.02	-1	1	0	15	101	0	1	1	0
8	tree22.jpg	6	0	1.089382	1	1	51.0364	81.41	-1	-1	0	16	101	1	0	1	0
9	tree18.jpg	1	1	0.955649	1	2	40.2853	28.21	-1	1	0	17	101	1	0	0	1
10	tree18.jpg	1	1	0.619073	1	2	57.5057	38.46	-1	1	0	18	101	1	0	0	1
